Cooresponding CSE,Legitimate Domains,url,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors,ocr_text,laplacian_variance
Airtel,airtel.in,https://airatesmy.com,198.185.159.144,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.7849418274376423,3.3927474104487847,1,1,64,Let's Encrypt,"[[0, 0, 0], [119, 110, 104], [206, 219, 215]]",-1.0,cc74f374cc7c3320,-1,True,https://airatesmy.com/favicon.ico,-1,,[],airatesmycom We're under construction: Please check back for an update soon:,395.8881861863938
Bank of Baroda (BoB),bobibanking.com,http://b0binw.bond,,18,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.572431251322119,2.8453509366224368,0,0,-1,,"[[254, 254, 254], [117, 117, 117], [42, 42, 42]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],Failed tocapture: bObinibond,122.459296875
State Bank of India (SBI),onlinesbi.sbi,http://online-iyx.com,,21,1,False,5,1,2,0,0,0,0,0,0,0,14,1,False,0,0,0.0,0,False,False,0,False,False,False,3.9161269465882835,3.378783493486176,0,0,-1,,"[[254, 254, 254], [30, 30, 30], [149, 149, 149]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],Failed tocapture: online-IyxcoM,129.09766493055557
Indian Oil Corporation Limited (IOCL),iocl.com,http://idoc.online,217.160.0.102,18,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.6143694458867563,2.9139770731827523,0,0,-1,,"[[254, 254, 254], [44, 44, 44], [134, 134, 134]]",-1.0,83070707070f1fff,-1,True,https://www.hstgmbh.de/wp-content/uploads/2024/06/cropped-hst_favicon_512x512_Zeichenflaeche-1-32x32.png,-1,,[],Failed tocapture: Idoconline,116.776171875
State Bank of India (SBI),onlinesbi.sbi,http://onlinedata.website,,25,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.813660689688185,3.4613201402110083,0,0,-1,,"[[254, 254, 254], [138, 138, 138], [40, 40, 40]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],Failed tocapture: onlinedata iebsite,153.72787326388888
Punjab National Bank (PNB),netpnb.com,http://nextspendbase.com,162.255.119.227,24,1,False,4,0,2,0,0,0,0,0,0,0,17,0,False,0,0,0.0,0,False,False,0,False,False,False,3.855388542207534,3.572469458770136,0,0,-1,,"[[234, 234, 234], [23, 21, 24], [30, 95, 206]]",-1.0,e3f41cb11cbb403b,-1,False,,-1,,[],"Stop spending around and save on SaaS and Cloud Seend Save management platform ~Software discoun Cloud optimization Make vour cash flow 39% back to voU 1.25% S300,000+ +1card for highest savings Our customers save 39% on software vOU can tOO Scasaviesdaier $5 Stop spending around in 30 days 30% %on 1O% %a 2O% = Dav 30 Day 5 Ready to start saving? 20",4114.739689667945
ICICI Bank,icicidirect.com,http://iciid.org,195.210.46.67,16,1,False,4,0,2,0,0,0,0,0,0,0,9,0,False,0,0,0.0,0,False,False,0,False,False,False,3.452819531114783,2.6416041678685933,0,0,-1,,"[[254, 254, 254], [118, 118, 118], [30, 30, 30]]",-1.0,83030707070f3fff,-1,True,http://iciid.org/favicon.ico,-1,,[],Failed tocapture: iciidorg,106.32683810763889
HDFC Bank,hdfclife.com,http://hdwlife.com,13.223.25.84,18,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.8365916681089787,3.459431618637298,1,1,59,Let's Encrypt,"[[251, 251, 252], [91, 127, 193], [70, 99, 87]]",-1.0,bec348bf62c21966,-1,True,http://hdwlife.com/favicon.ico,-1,,[],"HugeDomains Search 303-893-0552 Home FAQs About us Contact us My account HdwLife.com HdwLife.com Buy now: $995 This domain is for sale: S995 Buy now Favorite or Start payment plan Questions? Talk domain expert: -303-893-0552 Only $41.46/mo. for 24 months See details Since 2005, we've helped thousands of people get the perfect domain name 30-day money back guarantee Fast, easy; and painless. Dann Berg, November 18, 2025 Take immediate ownership Acquiring OakvilleMaids.com through HugeDomains was good experience: Weve Safe and secure shopping operated our business on OakvilleMaids: for years, but securing the .com version was important eliminate any customer confusion and strengthen our brand credibility: HugeDomains made the entire process easyl It was fast; ear; and hassl free: We highly recommend them any business looking upgrade protect their online presence_ Greg Shepard; November 17, 2025 smooth transaction the pavment up was just life saver Danny Bernard, November 2025 The transition went wel and was made fairly easy - accomplish: Martin Thoolen; November 10, 2025 Process was super smooth and easy: We got access our domain within minutes and have already been able get the site moving forward. lohn Ziegler; November 2025 See more testimonials Our promise to you 30-day money back guarantee HugeDomains provides 100% satisfaction guarantee everv domain name that we sell through our website If you buy domain and are unhappy with we accept the return within 30 days and issue full refund no questions asked. Quick delivery of the domain In most cases access the domain will be available within one TWC hours purchase however access domains purchased after business hours will be available within the next business day: Safe and secure shopping Your online sa fety and security our top priority: We understand the importance protecting your personal information: We protect your information through SSL encryption technology; providing the safest, most secure shopping experience possible Additionally; you may checkout with PayPal Escrow com FAQs See more FAQs How do I transfer to another registrar such as GoDaddy? How do get the domain after the purchase? What comes with the domain name? Do you offer payment plans? How do I keep my personal information private? Your Web address means everything watch our video see why Other domains you might like LifeLifeInsurance.com 095 See domain MyLifeHisLife. com 52,995 See domain HealthyLifeHappyLife.com 52,095 See domain Quick stats Domain length characters Keywords Hdw, Life Base domain HdwLife TLD extension com Shop Safe and secure Helpful Tips About us Home Money back guarantee Buying Overview Categories Escrow com Case studies Contact us Payment plans NameBright ( com FAQs Terms and conditions My account Testimonials Privacy policy 'com NameBrightcom ViSa AMBX PayPal ESCROWCOM: Talk to domain expert: +1-303-893-0552 0 2025 HugeDomains -com All rights Teserved Very and set will . guide",2800.4762743989786
State Bank of India (SBI),onlinesbi.sbi,https://onlineglass.store,3.33.130.190,25,1,False,4,0,2,0,0,0,0,0,0,0,17,0,False,0,0,0.0,0,False,False,0,False,False,False,3.733660689688185,3.337175341123077,1,1,110,"GoDaddy.com, Inc.","[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,True,"data:,",-1,,[],,0.0
State Bank of India (SBI),sbi.co.in,http://sbbliq.bond,,18,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.68354236243323,3.027169118440619,0,0,-1,,"[[254, 254, 254], [39, 39, 39], [116, 116, 116]]",-1.0,83070707070f1fff,-1,False,,-1,,[],Failed tocapture: sbbliq bond,124.33811848958334
Airtel,airtel.in,https://jarintel.ai,185.230.63.186,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.681880802803401,3.0957952550009344,1,1,70,Google Trust Services,"[[251, 251, 252], [52, 63, 79], [195, 162, 134]]",-1.0,c9a4b64ba396ab85,-1,True,https://www.wix.com/favicon.ico,-1,,[],WiXcom Templates Wixcom Looks like this domain isn't connected to a website Is this your domain? Connect it to your Wix website in just a few easy steps: Go to Wixcom Subscriptions Domains 2. Click Use a Domain You Already Own 3 Follow the steps to connect your domain to your website Need more help? Please contact our Support Team yet,1457.7147039120996
State Bank of India (SBI),onlinesbi.sbi,https://onlinepublication2025.online,192.0.78.161,36,1,False,4,0,2,0,0,0,0,0,0,0,28,0,False,0,0,0.0,0,False,False,0,False,False,False,4.006749918638778,3.6245186549588984,1,1,63,Let's Encrypt,"[[254, 254, 254], [8, 10, 12], [144, 143, 146]]",-1.0,d656545656565c56,-1,True,"data:image/svg+xml;charset=UTF-8,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-2 -2 24 24' width='28' height='28' %3e%3cpath d='M20 10c0-5.51-4.49-10-10-10C4.48 0 0 4.49 0 10c0 5.52 4.48 10 10 10 5.51 0 10-4.48 10-10zM7.78 15.37L4.37 6.22c.55-.02 1.17-.08 1.17-.08.5-.06.44-1.13-.06-1.11 0 0-1.45.11-2.37.11-.18 0-.37 0-.58-.01C4.12 2.69 6.87 1.11 10 1.11c2.33 0 4.45.87 6.05 2.34-.68-.11-1.65.39-1.65 1.58 0 .74.45 1.36.9 2.1.35.61.55 1.36.55 2.46 0 1.49-1.4 5-1.4 5l-3.03-8.37c.54-.02.82-.17.82-.17.5-.05.44-1.25-.06-1.22 0 0-1.44.12-2.38.12-.87 0-2.33-.12-2.33-.12-.5-.03-.56 1.2-.06 1.22l.92.08 1.26 3.41zM17.41 10c.24-.64.74-1.87.43-4.25.7 1.29 1.05 2.71 1.05 4.25 0 3.29-1.73 6.24-4.4 7.78.97-2.59 1.94-5.2 2.92-7.78zM6.1 18.09C3.12 16.65 1.11 13.53 1.11 10c0-1.3.23-2.48.72-3.59C3.25 10.3 4.67 14.2 6.1 18.09zm4.03-6.63l2.58 6.98c-.86.29-1.76.45-2.71.45-.79 0-1.57-.11-2.29-.33.81-2.38 1.62-4.74 2.42-7.1z'%3e%3c/path%3e%3c/svg%3e",-1,,[],Build a website. Sellyour stuff Write blog- And so much more Log in Start your website Private Site This site is currently private: Log_in to WordPresscom to request access:,707.326404185022
Bank of Baroda (BoB),bankofbaroda.in,https://bankfy.xyz,13.248.169.48,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.8365916681089787,3.1219280948873624,1,1,111,"GoDaddy.com, Inc.","[[0, 17, 44], [254, 254, 254], [141, 145, 151]]",-1.0,89198be7a6a7c899,-1,False,,-1,,[],GoDaddy Excellent 4.6 out of 5 Trustpilot The domain name bankfyxyz is for salel Safe & secure transactions Fast & easy transfers Hassle free payments GoDaddy Copyright @ 2026 GoDaddy Operating Company: LLC. All Rights Reserved Donot snare my personal information Prwvacy_ Settings,475.4848779296875
State Bank of India (SBI),sbilife.co.in,https://smilifeet.shop,3.33.130.190,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.572623663895164,3.378783493486176,1,1,110,"GoDaddy.com, Inc.","[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,False,,-1,,[],,0.0
State Bank of India (SBI),sbilife.co.in,https://simplife.co.uk,52.40.42.113,22,2,False,5,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.913977073182751,3.521640636343319,1,1,63,Let's Encrypt,"[[27, 35, 111], [242, 242, 251], [84, 61, 219]]",-1.0,b1b16e6e91e49391,-1,True,https://forsale.spaceship-cdn.com/static/version/0.29.1/assets/fonts/apple-touch-icon-57x57.png,-1,,[],"spaceship Domain for sale simplife.co.uk Make offer S0 Free transaction support Payment methods Secure payments Spaceship reliability Submityour olfer Listed with spaceship.com You be redirected to spaceship com Buyer protection program Fast and easy transfer Flexible payment methods The entirety of this site is protected by copyright 0 2001-2026 spaceship com 4600 East Washington Street Suite 305, Phoenix,AZ 85034, USA wIlI",1113.5327109225195
State Bank of India (SBI),sbi.co.in,http://sbionyx.com,104.21.37.178,18,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.8365916681089787,3.277613436819116,1,1,63,Google Trust Services,"[[254, 254, 254], [36, 36, 36], [135, 135, 135]]",-1.0,83070707070f1fff,-1,False,,-1,,[],Failed tocapture: sbionyxcom,122.52862196180556
State Bank of India (SBI),onlinesbi.sbi,http://onlineconfirm.help,,25,1,False,4,0,2,0,0,0,0,0,0,0,18,0,False,0,0,0.0,0,False,False,0,False,False,False,3.8136606896881853,3.4613201402110083,0,0,-1,,"[[254, 254, 254], [140, 140, 140], [33, 33, 33]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],Failed tocapture onlinecontirmhelp,154.96155815972222
State Bank of India (SBI),sbi.co.in,http://5bim15r.bond,,19,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.8268748818646365,3.2516291673878226,0,0,-1,,"[[254, 254, 254], [44, 44, 44], [129, 129, 129]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],Failed tocapture: Sbim ISr.bond,127.19791666666667
Airtel,airtel.in,https://agiotel.com,15.197.148.33,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.787143960698138,3.277613436819116,1,1,111,"GoDaddy.com, Inc.","[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,False,,-1,,[],,0.0
Airtel,airtel.in,https://airelius.live,104.21.21.220,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.689703732199547,3.0269868333592873,1,1,59,Google Trust Services,"[[253, 253, 253], [15, 14, 14], [146, 144, 145]]",-1.0,b171707073717978,-1,True,https://airelius.io/lovable-uploads/bf6961c5-5bd4-4ba5-a8c5-c271727467d5.png,-1,,[],"We Find Businesses With Rising A/R Before Ask For Help Book Discovery Call Watch Overview Video @zx; See how W generated a S796,939 Pipeline davs 'this loT companv. Why Listen To Me Aurelio What /'ve Done Since 6-Week 6-Figure Pipeline 01 ICP & Cold-Readv Offer They",3512.8076538313617
State Bank of India (SBI),onlinesbi.sbi,http://onlineexhausts.site,27.124.125.171,26,1,False,4,0,2,0,0,0,0,0,0,0,19,0,False,0,0,0.0,0,False,False,0,False,False,False,3.719294525666979,3.4316235658474303,0,0,-1,,"[[254, 254, 254], [138, 138, 138], [28, 28, 28]]",-1.0,870707070f0f1f3f,-1,False,,-1,,[],Failed tocapture: onlineexhausts site,160.69825086805557
State Bank of India (SBI),onlinesbi.sbi,https://online-osago.ru,104.21.76.12,23,1,False,5,1,2,0,0,0,0,0,0,0,15,1,False,0,0,0.0,0,False,False,0,False,False,False,3.9690016298759936,3.456564762130954,1,1,64,Google Trust Services,"[[255, 255, 255], [255, 255, 255], [255, 255, 255]]",-1.0,8000000000000000,-1,True,https://online-osago.ru/favicon.ico,-1,,[],,0.0
State Bank of India (SBI),onlinesbi.sbi,https://onlinetires.uk,3.33.130.190,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.7887549139935026,3.378783493486176,1,1,108,"GoDaddy.com, Inc.","[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,True,"data:,",-1,,[],,0.0
State Bank of India (SBI),sbi.co.in,https://sbicapex.com,104.21.11.212,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.821928094887362,3.418295834054489,1,1,62,Google Trust Services,"[[233, 234, 233], [144, 142, 131], [254, 254, 254]]",-1.0,ae1bb494116b3f43,-1,True,https://sbicapex.com/favicon.ico,-1,,[],Web server is down Error code 521 Visit cloudflare.com for more information: 2026-02-01 13.32.53 UTC You Chennai sbicapexcom Browser Cloudflare Host Working Working Error What happened? What can do? The web server is not returning connection; As result; the If you are visitor of this website: web page is not displaying: Please try in a few minutes_ If you are the owner of this website: Contact your hosting provider letting them know your web server is not responding: Additional troubleshooting information: Cloudflare Ray ID: 9c71d13e8e34426e Your IP: Click to reveal Performance & security by Cloudflare 'again,309.75882930636
HDFC Bank,hdfc.com,https://hdgc.club,13.248.213.45,17,1,False,4,0,2,0,0,0,0,0,0,0,9,0,False,0,0,0.0,0,False,False,0,False,False,False,3.6168746059562227,2.94770277922009,1,1,110,"GoDaddy.com, Inc.","[[29, 42, 51], [29, 42, 51], [29, 42, 51]]",-1.0,8000000000000000,-1,False,,-1,,[],,0.0
HDFC Bank,hdfc.com,http://hqsd5fch.bond,,20,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,3.7841837197791888,3.3927474104487847,0,0,-1,,"[[254, 254, 254], [37, 37, 37], [142, 142, 142]]",-1.0,87070707070f1f7f,-1,False,,-1,,[],Failed tocapture: hqslstchbond,136.73087022569445
